NO,Datetime,Type,first peak/valley value,datetime1,second peak/valley value,datetime2,Duration,RSI MA(14),datetime,entry_price,exit_price,MA20,MA50,MA100,MA200,Result (48h) %,Max TP,datetimeTP,Max SL,datetimeSL,gain=1/ loss=0 order,gain first and TP > SL,gain first and TP < SL,loss first and TP > SL,loss first and TP < SL,loss_duration,TP_duration,gain of W=True,gain of X=True,gain of Y=True,gain of Z=True,loss of W=True,loss of X=True,loss of Y=true,loss of Z=True,gain Dur of W=True,gain Dur of X=True,gain Dur of Y=True,gain Dur of Z=True,loss Dur of W=True,loss Dur of X=True,loss Dur of Y=True,loss Dur of Z=True,closing W,closing X,closing Y,closing Z
13,4/14/2023 11:00,Sell,69.73997392,4/14/2023 6:00,54.9925072,4/11/2023 1:00,77:00:00,53.71935842,4/14/2023 11:00,30790,30220.1,30409.5,30348.614,30097.92,29337.7035,-1.85%,2.809353686,4/14/2023 16:00,-0.162390386,4/14/2023 12:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,5:00:00,0,0,2.809353686,0,0,0,-0.162390386,0,0:00:00,0:00:00,5:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-1.85%,0.00%
15,4/19/2023 0:00,Sell,64.9839273,4/18/2023 11:00,58.39774296,4/14/2023 1:00,106:00:00,69.53795682,4/19/2023 0:00,30306.4,28279.4,29625.62,29046.756,28342.361,28147.8185,-6.69%,7.6663675,4/20/2023 19:00,-0.09271969,4/19/2023 1:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,43:00:00,0,0,7.6663675,0,0,0,-0.09271969,0,0:00:00,0:00:00,43:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-6.69%,0.00%
17,4/26/2023 17:00,Sell,60.94986189,4/26/2023 12:00,64.9839273,4/18/2023 11:00,193:00:00,44.05242444,4/26/2023 17:00,29713.3,29225,28866.99,29141.118,29216.76,28891.1615,-1.64%,8.458501748,4/26/2023 20:00,-0.621607159,4/27/2023 18:00,1,TRUE,FALSE,FALSE,FALSE,25:00:00,3:00:00,8.458501748,0,0,0,-0.621607159,0,0,0,3:00:00,0:00:00,0:00:00,0:00:00,25:00:00,0:00:00,0:00:00,0:00:00,-1.64%,0.00%,0.00%,0.00%
18,4/30/2023 20:00,Sell,76.97311157,4/30/2023 16:00,64.9839273,4/18/2023 11:00,293:00:00,63.44672539,4/30/2023 20:00,29314.9,28661.5,28707.1,28382.608,28569.476,28646.6735,-2.23%,5.679364419,5/1/2023 20:00,-0.532493715,4/30/2023 21:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,24:00:00,0,0,5.679364419,0,0,0,-0.532493715,0,0:00:00,0:00:00,24:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-2.23%,0.00%
22,5/15/2023 21:00,Sell,68.98871426,5/15/2023 17:00,62.04721525,5/15/2023 6:00,11:00:00,55.24421037,5/15/2023 21:00,27352.4,27356.9,27100.905,27032.698,27011.593,26995.9565,0.02%,3.015823109,5/17/2023 14:00,-0.53962358,5/17/2023 21:00,1,TRUE,FALSE,FALSE,FALSE,48:00:00,41:00:00,3.015823109,0,0,0,-0.53962358,0,0,0,41:00:00,0:00:00,0:00:00,0:00:00,48:00:00,0:00:00,0:00:00,0:00:00,0.02%,0.00%,0.00%,0.00%
26,5/23/2023 16:00,Sell,68.86812501,5/23/2023 4:00,62.04721525,5/15/2023 6:00,190:00:00,73.08692326,5/23/2023 16:00,27219.3,26262.6,26977.005,26558.48,26578.93,27038.717,-3.51%,5.030621654,5/25/2023 1:00,-0.172671597,5/23/2023 17:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,33:00:00,0,0,5.030621654,0,0,0,-0.172671597,0,0:00:00,0:00:00,33:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-3.51%,0.00%
28,5/28/2023 9:00,Sell,35.05332436,5/28/2023 7:00,68.86812501,5/23/2023 4:00,123:00:00,34.03385912,5/28/2023 9:00,27148.2,27840,27587.98,27704,27476.763,27249.9245,2.55%,0.244951783,5/28/2023 12:00,-4.76569349,5/29/2023 0:00,1,FALSE,TRUE,FALSE,FALSE,15:00:00,3:00:00,0,0.244951783,0,0,0,-4.76569349,0,0,0:00:00,3:00:00,0:00:00,0:00:00,0:00:00,15:00:00,0:00:00,0:00:00,0.00%,2.55%,0.00%,0.00%
33,6/17/2023 16:00,Sell,62.7523363,6/17/2023 5:00,46.52770169,6/16/2023 19:00,10:00:00,46.88217239,6/17/2023 16:00,26461.3,26489.7,26501.685,26482.658,27214.524,28809.7635,0.11%,0.870705521,6/18/2023 23:00,-0.937595659,6/18/2023 20:00,0,FALSE,FALSE,FALSE,TRUE,28:00:00,31:00:00,0,0,0,0.870705521,0,0,0,-0.937595659,0:00:00,0:00:00,0:00:00,31:00:00,0:00:00,0:00:00,0:00:00,28:00:00,0.00%,0.00%,0.00%,0.11%
34,6/20/2023 8:00,Sell,32.47313396,6/20/2023 0:00,62.7523363,6/17/2023 5:00,67:00:00,18.18385495,6/20/2023 8:00,26743.7,30091.4,27660.94,28882.862,29612.066,30039.196,12.52%,0.410563983,6/20/2023 14:00,-15.2495728,6/21/2023 16:00,1,FALSE,TRUE,FALSE,FALSE,32:00:00,6:00:00,0,0.410563983,0,0,0,-15.2495728,0,0,0:00:00,6:00:00,0:00:00,0:00:00,0:00:00,32:00:00,0:00:00,0:00:00,0.00%,12.52%,0.00%,0.00%
35,6/22/2023 4:00,Sell,49.53902724,6/21/2023 19:00,32.1490231,6/21/2023 2:00,17:00:00,47.81354854,6/22/2023 4:00,30338.1,30693.7,30072.605,30284.794,30418.912,30418.538,1.17%,2.762203302,6/22/2023 14:00,-3.829837729,6/23/2023 15:00,1,FALSE,TRUE,FALSE,FALSE,35:00:00,10:00:00,0,2.762203302,0,0,0,-3.829837729,0,0,0:00:00,10:00:00,0:00:00,0:00:00,0:00:00,35:00:00,0:00:00,0:00:00,0.00%,1.17%,0.00%,0.00%
36,6/24/2023 4:00,Sell,67.41064096,6/23/2023 15:00,51.48324788,6/21/2023 16:00,47:00:00,51.74352992,6/24/2023 4:00,30693.7,30235.7,30602.005,30563.842,30497.544,30468.6205,-1.49%,2.52071272,6/26/2023 1:00,-1.171250126,6/25/2023 4:00,0,FALSE,FALSE,TRUE,FALSE,24:00:00,45:00:00,0,0,2.52071272,0,0,0,-1.171250126,0,0:00:00,0:00:00,45:00:00,0:00:00,0:00:00,0:00:00,24:00:00,0:00:00,0.00%,0.00%,-1.49%,0.00%
37,7/4/2023 2:00,Sell,63.6403725,7/3/2023 19:00,50.13328411,6/21/2023 18:00,289:00:00,64.16874648,7/4/2023 2:00,31251.2,30458.9,30963.495,30728.124,30528.288,30435.196,-2.54%,3.44114786,7/5/2023 13:00,-0.088316609,7/4/2023 3:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,35:00:00,0,0,3.44114786,0,0,0,-0.088316609,0,0:00:00,0:00:00,35:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-2.54%,0.00%
38,7/6/2023 12:00,Sell,73.65175508,7/6/2023 8:00,63.6403725,7/3/2023 19:00,61:00:00,52.47711984,7/6/2023 12:00,30588.6,30154.7,30200.875,30221.086,30215.176,30453.9875,-1.42%,2.970387661,7/7/2023 0:00,-0.199420699,7/6/2023 13:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,12:00:00,0,0,2.970387661,0,0,0,-0.199420699,0,0:00:00,0:00:00,12:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-1.42%,0.00%
40,7/24/2023 0:00,Sell,73.59919271,7/23/2023 18:00,73.65175508,7/6/2023 8:00,418:00:00,66.47793069,7/24/2023 0:00,30000.8,29155.3,29443.85,29273.544,29290.566,29281.8815,-2.82%,3.902562598,7/24/2023 15:00,-0.037998987,7/24/2023 1:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,15:00:00,0,0,3.902562598,0,0,0,-0.037998987,0,0:00:00,0:00:00,15:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-2.82%,0.00%
43,8/2/2023 8:00,Sell,73.04483572,8/2/2023 1:00,62.68914976,6/23/2023 18:00,943:00:00,55.64753417,8/2/2023 8:00,29481.5,29172.1,29261.68,29218.214,29149.116,29271.524,-1.05%,1.951054051,8/2/2023 16:00,-0.398555026,8/2/2023 12:00,0,FALSE,FALSE,TRUE,FALSE,4:00:00,8:00:00,0,0,1.951054051,0,0,0,-0.398555026,0,0:00:00,0:00:00,8:00:00,0:00:00,0:00:00,0:00:00,4:00:00,0:00:00,0.00%,0.00%,-1.05%,0.00%
44,8/9/2023 2:00,Sell,63.90153314,8/8/2023 20:00,73.04483572,8/2/2023 1:00,163:00:00,59.84222087,8/9/2023 2:00,29680.1,29362.7,29701.785,29580.838,29495.162,29364.5805,-1.07%,1.268189797,8/10/2023 17:00,-1.582204912,8/9/2023 13:00,0,FALSE,FALSE,FALSE,TRUE,11:00:00,39:00:00,0,0,0,1.268189797,0,0,0,-1.582204912,0:00:00,0:00:00,0:00:00,39:00:00,0:00:00,0:00:00,0:00:00,11:00:00,0.00%,0.00%,0.00%,-1.07%
47,8/24/2023 7:00,Sell,57.64647181,8/23/2023 17:00,73.41190285,8/14/2023 16:00,217:00:00,58.64781448,8/24/2023 7:00,26460.7,26039.7,26201.695,26096.876,26062.911,26382.4975,-1.59%,2.669241554,8/25/2023 14:00,-0.406640792,8/24/2023 9:00,0,FALSE,FALSE,TRUE,FALSE,2:00:00,31:00:00,0,0,2.669241554,0,0,0,-0.406640792,0,0:00:00,0:00:00,31:00:00,0:00:00,0:00:00,0:00:00,2:00:00,0:00:00,0.00%,0.00%,-1.59%,0.00%
49,9/8/2023 7:00,Sell,65.94770233,9/7/2023 22:00,64.09441479,8/23/2023 19:00,363:00:00,53.23812449,9/8/2023 7:00,26244.1,25843,25893.705,25870.984,25740.976,26034.6335,-1.53%,2.339954504,9/8/2023 10:00,-0.052583247,9/8/2023 8:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,3:00:00,0,0,2.339954504,0,0,0,-0.052583247,0,0:00:00,0:00:00,3:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-1.53%,0.00%
52,9/15/2023 1:00,Sell,60.36491897,9/14/2023 14:00,58.31788137,9/12/2023 13:00,49:00:00,51.85509385,9/15/2023 1:00,26490,26481.9,26466.19,26510.212,26605.46,26729.092,-0.03%,1.069837675,9/15/2023 14:00,-1.510003775,9/15/2023 23:00,1,FALSE,TRUE,FALSE,FALSE,22:00:00,13:00:00,0,1.069837675,0,0,0,-1.510003775,0,0,0:00:00,13:00:00,0:00:00,0:00:00,0:00:00,22:00:00,0:00:00,0:00:00,0.00%,-0.03%,0.00%,0.00%
54,9/29/2023 2:00,Sell,58.81860841,9/28/2023 17:00,63.55354647,9/27/2023 11:00,30:00:00,52.06206995,9/29/2023 2:00,26879.5,27015.6,26943.73,26950.368,27295.436,27450.4385,0.51%,0.946818207,9/29/2023 14:00,-1.309548169,9/29/2023 7:00,0,FALSE,FALSE,FALSE,TRUE,5:00:00,12:00:00,0,0,0,0.946818207,0,0,0,-1.309548169,0:00:00,0:00:00,0:00:00,12:00:00,0:00:00,0:00:00,0:00:00,5:00:00,0.00%,0.00%,0.00%,0.51%
55,10/1/2023 17:00,Sell,36.43770957,10/1/2023 9:00,63.55354647,9/27/2023 11:00,94:00:00,43.20945147,10/1/2023 17:00,27061.8,27424,27855.025,27730.018,27639.506,27707.43,1.34%,0.172937499,10/1/2023 20:00,-5.732065125,10/2/2023 14:00,1,FALSE,TRUE,FALSE,FALSE,21:00:00,3:00:00,0,0.172937499,0,0,0,-5.732065125,0,0,0:00:00,3:00:00,0:00:00,0:00:00,0:00:00,21:00:00,0:00:00,0:00:00,0.00%,1.34%,0.00%,0.00%
56,10/2/2023 14:00,Sell,61.95600403,10/2/2023 8:00,50.87603719,10/1/2023 22:00,10:00:00,57.77664691,10/2/2023 14:00,28292.4,27376.6,27697.785,27533.496,27575.209,27667.5235,-3.24%,4.133265471,10/3/2023 20:00,-0.415305877,10/2/2023 15:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,30:00:00,0,0,4.133265471,0,0,0,-0.415305877,0,0:00:00,0:00:00,30:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-3.24%,0.00%
57,10/5/2023 15:00,Sell,68.00665428,10/5/2023 13:00,35.97915523,10/1/2023 10:00,99:00:00,41.01698463,10/5/2023 15:00,27540,27926.4,27508.375,27725.904,27769.195,27408.469,1.40%,1.394335512,10/6/2023 13:00,-3.304284677,10/6/2023 21:00,1,FALSE,TRUE,FALSE,FALSE,30:00:00,22:00:00,0,1.394335512,0,0,0,-3.304284677,0,0,0:00:00,22:00:00,0:00:00,0:00:00,0:00:00,30:00:00,0:00:00,0:00:00,0.00%,1.40%,0.00%,0.00%
60,10/17/2023 0:00,Sell,57.14810549,10/16/2023 18:00,41.61585064,10/16/2023 5:00,13:00:00,46.26167983,10/17/2023 0:00,28263.9,28370.1,28359.27,28369.324,28695.737,30092.22,0.38%,0.739105361,10/17/2023 4:00,-2.958190483,10/18/2023 4:00,1,FALSE,TRUE,FALSE,FALSE,28:00:00,4:00:00,0,0.739105361,0,0,0,-2.958190483,0,0,0:00:00,4:00:00,0:00:00,0:00:00,0:00:00,28:00:00,0:00:00,0:00:00,0.00%,0.38%,0.00%,0.00%
61,10/21/2023 22:00,Sell,54.23816507,10/21/2023 18:00,58.20058687,10/20/2023 10:00,32:00:00,37.38741703,10/21/2023 22:00,29981.6,33358.8,29905.98,30418.818,32328.229,33253.291,11.26%,1.250767137,10/22/2023 7:00,-20.01327481,10/23/2023 22:00,1,FALSE,TRUE,FALSE,FALSE,48:00:00,9:00:00,0,1.250767137,0,0,0,-20.01327481,0,0,0:00:00,9:00:00,0:00:00,0:00:00,0:00:00,48:00:00,0:00:00,0:00:00,0.00%,11.26%,0.00%,0.00%
62,10/23/2023 11:00,Sell,33.13709362,10/23/2023 5:00,57.92547298,10/20/2023 11:00,66:00:00,28.02447537,10/23/2023 11:00,30644.4,34195.5,32316.495,33387.718,33851.741,34054.2845,11.59%,0.940139145,10/23/2023 18:00,-17.41753795,10/23/2023 22:00,1,FALSE,TRUE,FALSE,FALSE,11:00:00,7:00:00,0,0.940139145,0,0,0,-17.41753795,0,0,0:00:00,7:00:00,0:00:00,0:00:00,0:00:00,11:00:00,0:00:00,0:00:00,0.00%,11.59%,0.00%,0.00%
63,10/24/2023 14:00,Sell,59.17320945,10/24/2023 12:00,33.66635023,10/23/2023 3:00,33:00:00,44.2060271,10/24/2023 14:00,34422.5,34198,33989.26,34295.646,34161.115,34286.5955,-0.65%,3.423632798,10/24/2023 15:00,-2.125935072,10/25/2023 16:00,1,TRUE,FALSE,FALSE,FALSE,26:00:00,1:00:00,3.423632798,0,0,0,-2.125935072,0,0,0,1:00:00,0:00:00,0:00:00,0:00:00,26:00:00,0:00:00,0:00:00,0:00:00,-0.65%,0.00%,0.00%,0.00%
64,11/2/2023 8:00,Sell,60.27253643,11/1/2023 20:00,58.56415563,10/29/2023 18:00,74:00:00,59.76559628,11/2/2023 8:00,35325.6,34848,34930.325,34721.978,34839.805,35315.538,-1.35%,3.404330004,11/3/2023 10:00,-0.456892452,11/2/2023 10:00,0,FALSE,FALSE,TRUE,FALSE,2:00:00,26:00:00,0,0,3.404330004,0,0,0,-0.456892452,0,0:00:00,0:00:00,26:00:00,0:00:00,0:00:00,0:00:00,2:00:00,0:00:00,0.00%,0.00%,-1.35%,0.00%
65,11/5/2023 9:00,Sell,41.05906467,11/4/2023 2:00,60.27253643,11/1/2023 20:00,54:00:00,49.83207127,11/5/2023 9:00,35113.2,34799.8,34982.8,34988.882,35305.331,36158.4825,-0.89%,2.156453983,11/5/2023 21:00,-0.973992687,11/5/2023 23:00,1,TRUE,FALSE,FALSE,FALSE,14:00:00,12:00:00,2.156453983,0,0,0,-0.973992687,0,0,0,12:00:00,0:00:00,0:00:00,0:00:00,14:00:00,0:00:00,0:00:00,0:00:00,-0.89%,0.00%,0.00%,0.00%
66,11/8/2023 5:00,Sell,53.31310381,11/7/2023 20:00,57.08668963,10/24/2023 2:00,354:00:00,34.779273,11/8/2023 5:00,35276.9,36775.8,35450.405,36199.456,36640.025,36666.674,4.25%,0.577998634,11/8/2023 15:00,-9.13629032,11/9/2023 14:00,1,FALSE,TRUE,FALSE,FALSE,33:00:00,10:00:00,0,0.577998634,0,0,0,-9.13629032,0,0,0:00:00,10:00:00,0:00:00,0:00:00,0:00:00,33:00:00,0:00:00,0:00:00,0.00%,4.25%,0.00%,0.00%
67,11/9/2023 15:00,Sell,69.59632282,11/9/2023 14:00,48.06829506,10/24/2023 3:00,395:00:00,42.99395656,11/9/2023 15:00,37141.5,37071.5,36642.56,36949.158,36995.298,36729.174,-0.19%,3.895642341,11/9/2023 16:00,-1.153696,11/10/2023 22:00,1,TRUE,FALSE,FALSE,FALSE,31:00:00,1:00:00,3.895642341,0,0,0,-1.153696,0,0,0,1:00:00,0:00:00,0:00:00,0:00:00,31:00:00,0:00:00,0:00:00,0:00:00,-0.19%,0.00%,0.00%,0.00%
69,11/16/2023 5:00,Sell,74.41098467,11/15/2023 23:00,49.85718034,10/24/2023 1:00,550:00:00,64.18641131,11/16/2023 5:00,37478.3,36341.2,36737.315,36524.332,36623.578,36884.498,-3.03%,5.315609299,11/16/2023 19:00,-0.447192109,11/16/2023 7:00,0,FALSE,FALSE,TRUE,FALSE,2:00:00,14:00:00,0,0,5.315609299,0,0,0,-0.447192109,0,0:00:00,0:00:00,14:00:00,0:00:00,0:00:00,0:00:00,2:00:00,0:00:00,0.00%,0.00%,-3.03%,0.00%
70,11/24/2023 18:00,Sell,70.2322876,11/24/2023 15:00,54.43384122,11/19/2023 23:00,112:00:00,54.82923943,11/24/2023 18:00,37728,37233.1,37751.945,37685.486,37483.217,37875.8065,-1.31%,1.595631891,11/26/2023 16:00,-0.56403732,11/24/2023 21:00,0,FALSE,FALSE,TRUE,FALSE,3:00:00,46:00:00,0,0,1.595631891,0,0,0,-0.56403732,0,0:00:00,0:00:00,46:00:00,0:00:00,0:00:00,0:00:00,3:00:00,0:00:00,0.00%,0.00%,-1.31%,0.00%
72,12/2/2023 7:00,Sell,49.66307034,12/1/2023 9:00,54.43384122,11/19/2023 23:00,274:00:00,30.05503658,12/2/2023 7:00,38683.9,41471.9,39034.355,39614.966,41083.515,42440.182,7.21%,0.165184999,12/2/2023 8:00,-8.034608713,12/4/2023 6:00,1,FALSE,TRUE,FALSE,FALSE,47:00:00,1:00:00,0,0.165184999,0,0,0,-8.034608713,0,0,0:00:00,1:00:00,0:00:00,0:00:00,0:00:00,47:00:00,0:00:00,0:00:00,0.00%,7.21%,0.00%,0.00%
73,12/6/2023 1:00,Sell,63.51952061,12/5/2023 22:00,43.02903362,12/4/2023 5:00,41:00:00,51.83508748,12/6/2023 1:00,43885.2,43429.9,43883.35,43700.596,43794.849,43009.9415,-1.04%,2.438635349,12/7/2023 9:00,-1.05867126,12/6/2023 10:00,0,FALSE,FALSE,TRUE,FALSE,9:00:00,32:00:00,0,0,2.438635349,0,0,0,-1.05867126,0,0:00:00,0:00:00,32:00:00,0:00:00,0:00:00,0:00:00,9:00:00,0:00:00,0.00%,0.00%,-1.04%,0.00%
75,12/14/2023 9:00,Sell,55.59944685,12/13/2023 21:00,72.67272824,12/8/2023 21:00,120:00:00,55.97698453,12/14/2023 9:00,42898,42232,42908.33,42548.248,42201.327,42695.568,-1.55%,4.098093151,12/14/2023 13:00,-1.287006387,12/14/2023 17:00,1,TRUE,FALSE,FALSE,FALSE,8:00:00,4:00:00,4.098093151,0,0,0,-1.287006387,0,0,0,4:00:00,0:00:00,0:00:00,0:00:00,8:00:00,0:00:00,0:00:00,0:00:00,-1.55%,0.00%,0.00%,0.00%
77,12/19/2023 10:00,Sell,61.40174085,12/19/2023 1:00,72.67272824,12/8/2023 21:00,244:00:00,42.62694132,12/19/2023 10:00,43155,44040.1,42525.385,43143.548,43456.834,43331.4345,2.05%,3.057814853,12/19/2023 18:00,-2.84926428,12/20/2023 15:00,1,TRUE,FALSE,FALSE,FALSE,29:00:00,8:00:00,3.057814853,0,0,0,-2.84926428,0,0,0,8:00:00,0:00:00,0:00:00,0:00:00,29:00:00,0:00:00,0:00:00,0:00:00,2.05%,0.00%,0.00%,0.00%
80,1/2/2024 13:00,Sell,64.49105351,1/2/2024 8:00,50.78308538,1/2/2024 0:00,8:00:00,61.95511609,1/2/2024 13:00,45686.3,43344.2,45199.04,43951.864,43883.53,44549.173,-5.13%,11.71751707,1/3/2024 12:00,-0.358313105,1/2/2024 14:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,23:00:00,0,0,11.71751707,0,0,0,-0.358313105,0,0:00:00,0:00:00,23:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-5.13%,0.00%
82,1/9/2024 5:00,Sell,56.44937131,1/8/2024 19:00,50.78308538,1/2/2024 0:00,163:00:00,55.02633108,1/9/2024 5:00,46721.4,46073.9,46518.64,46191.142,45705.949,44250.958,-1.39%,5.200828742,1/10/2024 13:00,-2.950682129,1/9/2024 21:00,0,FALSE,FALSE,TRUE,FALSE,16:00:00,32:00:00,0,0,5.200828742,0,0,0,-2.950682129,0,0:00:00,0:00:00,32:00:00,0:00:00,0:00:00,0:00:00,16:00:00,0:00:00,0.00%,0.00%,-1.39%,0.00%
